    * /home/gk778007/esim-workspace/frequency_divider/frequency_divider.cir
    Transient Analysis  Sat Oct  8 23:54:10  2022
--------------------------------------------------------------------------------
Index   time            a3#branch_1_0   v1#branch       
--------------------------------------------------------------------------------
0	1.000113e-06	0.000000e+00	-1.18337e-04	
1	1.000884e-06	0.000000e+00	-1.26839e-04	
2	1.001766e-06	0.000000e+00	-1.46039e-04	
3	1.002800e-06	0.000000e+00	-1.78493e-04	
4	1.004031e-06	0.000000e+00	-2.24492e-04	
5	1.004503e-06	0.000000e+00	-2.39301e-04	
6	1.004735e-06	0.000000e+00	-2.37434e-04	
7	1.004882e-06	0.000000e+00	-2.40795e-04	
8	1.005069e-06	0.000000e+00	-3.98613e-04	
9	1.005158e-06	0.000000e+00	-4.35112e-04	
10	1.005265e-06	0.000000e+00	-4.42247e-04	
11	1.005366e-06	0.000000e+00	-4.45146e-04	
12	1.005499e-06	0.000000e+00	-4.51564e-04	
13	1.005641e-06	0.000000e+00	-4.50470e-04	
14	1.005925e-06	0.000000e+00	-4.60695e-04	
15	1.006218e-06	0.000000e+00	-4.61322e-04	
16	1.006805e-06	0.000000e+00	-4.76699e-04	
17	1.007645e-06	0.000000e+00	-4.84114e-04	
18	1.009072e-06	0.000000e+00	-5.06755e-04	
19	1.011191e-06	0.000000e+00	-5.15278e-04	
20	1.012766e-06	0.000000e+00	-5.12103e-04	
21	1.014075e-06	0.000000e+00	-4.83481e-04	
22	1.015456e-06	0.000000e+00	-4.57347e-04	
23	1.016937e-06	0.000000e+00	-4.22459e-04	
24	1.018327e-06	0.000000e+00	-4.04192e-04	
25	1.019256e-06	0.000000e+00	-3.88692e-04	
26	1.019963e-06	0.000000e+00	-3.91184e-04	
27	1.020900e-06	0.000000e+00	-3.86980e-04	
28	1.021799e-06	0.000000e+00	-4.00091e-04	
29	1.023006e-06	0.000000e+00	-4.11526e-04	
30	1.024299e-06	0.000000e+00	-4.41198e-04	
31	1.025920e-06	0.000000e+00	-4.65317e-04	
32	1.028331e-06	0.000000e+00	-5.04720e-04	
33	1.030901e-06	0.000000e+00	-4.71349e-04	
34	1.031794e-06	0.000000e+00	-2.79389e-04	
35	1.032199e-06	0.000000e+00	-2.51166e-04	
36	1.032619e-06	0.000000e+00	-2.53586e-04	
37	1.032930e-06	0.000000e+00	-2.31447e-04	
38	1.033258e-06	0.000000e+00	-2.32461e-04	
39	1.033600e-06	0.000000e+00	-2.10868e-04	
40	1.033984e-06	0.000000e+00	-2.08450e-04	
41	1.034469e-06	0.000000e+00	-1.84136e-04	
42	1.035034e-06	0.000000e+00	-1.78768e-04	
43	1.035781e-06	0.000000e+00	-1.52633e-04	
44	1.036678e-06	0.000000e+00	-1.44745e-04	
45	1.037848e-06	0.000000e+00	-1.15537e-04	
46	1.038595e-06	0.000000e+00	-1.16399e-04	
47	1.039257e-06	0.000000e+00	-1.02885e-04	
48	1.040151e-06	0.000000e+00	-1.11803e-04	
49	1.040997e-06	0.000000e+00	-1.07482e-04	
50	1.042140e-06	0.000000e+00	-1.30737e-04	
51	1.043345e-06	0.000000e+00	-1.42478e-04	
52	1.044884e-06	0.000000e+00	-1.80937e-04	
53	1.046792e-06	0.000000e+00	-2.02619e-04	
54	1.049493e-06	0.000000e+00	-2.39513e-04	

Index   time            a3#branch_1_0   v1#branch       
--------------------------------------------------------------------------------
55	1.051219e-06	0.000000e+00	-2.29045e-04	
56	1.052461e-06	0.000000e+00	-2.22486e-04	
57	1.053796e-06	0.000000e+00	-1.83761e-04	
58	1.055280e-06	0.000000e+00	-1.61292e-04	
59	1.056686e-06	0.000000e+00	-1.26090e-04	
60	1.058083e-06	0.000000e+00	-1.21206e-04	
61	1.058897e-06	0.000000e+00	-1.15495e-04	
62	1.059713e-06	0.000000e+00	-1.36049e-04	
63	1.060604e-06	0.000000e+00	-1.49193e-04	
64	1.061714e-06	0.000000e+00	-1.95764e-04	
65	1.062981e-06	0.000000e+00	-2.32514e-04	
66	1.063338e-06	0.000000e+00	-3.18710e-04	
67	1.063535e-06	0.000000e+00	-4.24330e-04	
68	1.063664e-06	0.000000e+00	-4.48148e-04	
69	1.063804e-06	0.000000e+00	-4.35541e-04	
70	1.063951e-06	0.000000e+00	-4.56884e-04	
71	1.064123e-06	0.000000e+00	-4.41627e-04	
72	1.064442e-06	0.000000e+00	-4.67240e-04	
73	1.064793e-06	0.000000e+00	-4.54257e-04	
74	1.065458e-06	0.000000e+00	-4.85358e-04	
75	1.066402e-06	0.000000e+00	-4.79450e-04	
76	1.068038e-06	0.000000e+00	-5.17910e-04	
77	1.069880e-06	0.000000e+00	-5.07952e-04	
78	1.071350e-06	0.000000e+00	-5.18966e-04	
79	1.072688e-06	0.000000e+00	-4.75055e-04	
80	1.074086e-06	0.000000e+00	-4.63119e-04	
81	1.075577e-06	0.000000e+00	-4.13795e-04	
82	1.076955e-06	0.000000e+00	-4.10489e-04	
83	1.077841e-06	0.000000e+00	-3.81304e-04	
84	1.078544e-06	0.000000e+00	-3.98325e-04	
85	1.079469e-06	0.000000e+00	-3.79774e-04	
86	1.080380e-06	0.000000e+00	-4.07453e-04	
87	1.081580e-06	0.000000e+00	-4.04471e-04	
88	1.082883e-06	0.000000e+00	-4.48754e-04	
89	1.084500e-06	0.000000e+00	-4.58373e-04	
90	1.086921e-06	0.000000e+00	-5.12158e-04	
91	1.089222e-06	0.000000e+00	-4.80674e-04	
92	1.090053e-06	0.000000e+00	-2.95005e-04	
93	1.090416e-06	0.000000e+00	-2.52632e-04	
